City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
143,Kapaa,US,22.0752,-159.319,24.18,85,40,6.69,1722099894
144,Valparaíso,CL,-33.0393,-71.6273,19.13,53,5,3.6,1722099606
145,Bardai,NG,11.65,7.2333,27.16,71,66,3.59,1722099509
146,New Norfolk,AU,-42.7826,147.0587,2.72,97,31,1.37,1722099894
147,Chonchi,CL,-42.6128,-73.8092,7.84,56,43,3.1,1722099895
148,Kidal,ML,18.4411,1.4078,39.32,21,11,3.79,1722099895
149,Thayetmyo,MM,19.3167,95.1833,24.95,96,100,6.61,1722099895
150,Utrik,MH,11.2278,169.8474,28.2,79,82,7.39,1722099895
151,Jianshui,CN,23.6363,102.8264,22.23,89,100,1.04,1722099895
152,Maba,CN,24.6841,113.5984,24.41,97,100,0.53,1722099895
153,Kisangani,CD,0.5167,25.2,22.68,92,100,1.58,1722099895
154,Queenstown,ZA,-31.8976,26.8753,11.41,41,0,4.95,1722099633
155,Dunay,RU,42.8803,132.3375,18.28,98,100,4.61,1722099895
156,Sīwah,EG,29.2041,25.5195,36.33,18,0,3.03,1722099896
157,El Jadida,MA,33.2549,-8.506,23.24,80,30,7.36,1722099896
158,Lazarevac,RS,44.3853,20.2557,30.91,15,0,3.2,1722099896
159,Mount Pearl,CA,47.5166,-52.7813,15.74,84,100,5.14,1722099896
160,Ar Ruways,AE,24.1103,52.7306,34.58,54,24,3.64,1722099896
161,Nantucket,US,41.2835,-70.0995,27.06,53,89,0.13,1722099662
162,Rivera,UY,-30.9053,-55.5508,19.61,95,100,3.12,1722099743
163,Burang,CN,30.25,81.1667,10.81,90,91,1.64,1722099896
164,Bin Yauri,NG,10.7823,4.8114,29.03,72,86,1.8,1722099897
165,Greenville,US,35.6127,-77.3663,28.96,63,0,4.12,1722099684
166,Ekibastuz,KZ,51.6667,75.3667,26.71,30,83,3.67,1722099897
167,Saipan,MP,15.1355,145.701,28.39,78,75,4.12,1722099866
